Site,Date,Month,Year,Level (m ngvd29),SRP(mg/L),NH4,NO3,TDN,DOC(mg/L),Cl,SO4(mg/L),DON,Temp,Conductivity(mS/cm),DO (%),DO (mg/L),pH,Restoration day,prec
Inflow,2/27/07,3,2007,0.5891,0.005,0.06,0.413,0.647710875,26.3438,,,0.174710875,,0.1,,,,0,0
Inflow,3/6/07,3,2007,0.6964,0.00605,0.176,0.0117,0.637210875,48.4825,,,0.449510875,,,,,,7,0
Inflow,3/13/07,3,2007,0.6404,0.005,0.242,0.001,1.921,58.63,,,1.678,,,,,,14,0.254
Inflow,3/20/07,3,2007,0.6106,0.005,0.214,0.001,1.543,57.35,,,1.328,,,,,,21,0
Inflow,3/27/07,3,2007,0.6057,0.00795,0.239,0.001,1.745,56.58,,,1.505,,,,,,28,0
Inflow,4/3/07,3,2007,0.5887,0.0122,0.158,0.001,1.805,60.36,,,1.646,,,,,,35,0
Inflow,4/11/07,4,2007,0.5633,0.0048,0.342,0.01,2.076,61.75,,,1.724,,,,,,43,0
Inflow,4/17/07,4,2007,0.5529,0.00067,0.198,0.01382,1.9495,68.07,,,1.73768,,,,,,49,1.778
Inflow,4/24/07,4,2007,0.7468,0.0025,0.042,0.02462,1.97525,64.9,,,1.90863,15.42,0.07,84.6,,4.64,56,0
Inflow,5/1/07,4,2007,0.6706,0.0025,0.06,0.01831,1.905375,64.465,,,1.827065,16.2,0.074,86,,4.22,63,0
Inflow,5/8/07,5,2007,0.6126,0.00125,0.136,0.012,1.8365625,63.875,,,1.6885625,20.09,0.077,71,,4.18,70,0.508
Inflow,5/15/07,5,2007,0.5957,0.0273,0.378,0.012,1.823,63.4038,,,1.433,19.57,0.073,69.4,,4.6,77,0
Inflow,5/22/07,5,2007,0.6147,0.026,0.469,0.012,2.001,61.73,,,1.52,,,,,,84,0
Inflow,5/30/07,5,2007,0.5428,0.011,0.285,0.012,1.8355,64.03,,,1.5385,21.67,0.089,72.3,,4.83,92,0
Inflow,6/5/07,6,2007,0.5262,0.0108,0.205,0.012,1.76775,63.285,,,1.55075,,,,,,98,1.016
Inflow,6/12/07,6,2007,0.6002,0.0108,0.305,0.012,1.76,62.9325,,,1.443,,,,,,105,0
Inflow,6/19/07,6,2007,0.5798,0.016,0.405,0.01489915,1.67,62.7,,,1.25010085,22.72,0.085,60.8,,5.07,112,1.524
